"filename", "language", "C++", "Batch", "C", "comment", "blank", "total"
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1057.c", "C", 0, 0, 11, 0, 0, 11
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1058.c", "C", 0, 0, 12, 0, 0, 12
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1059.c", "C", 0, 0, 14, 0, 1, 15
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1060.c", "C", 0, 0, 19, 0, 0, 19
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1061.c", "C", 0, 0, 19, 0, 0, 19
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1062.c", "C", 0, 0, 19, 0, 0, 19
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1063.c", "C", 0, 0, 18, 0, 0, 18
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1064.c", "C", 0, 0, 11, 0, 0, 11
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1065.c", "C", 0, 0, 15, 0, 0, 15
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1066.c", "C", 0, 0, 28, 0, 0, 28
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1067.c", "C", 0, 0, 21, 0, 0, 21
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1068.c", "C", 0, 0, 18, 0, 0, 18
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1069.c", "C", 0, 0, 16, 0, 0, 16
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1070.c", "C", 0, 0, 17, 0, 1, 18
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1071.c", "C", 0, 0, 18, 0, 1, 19
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1072.c", "C", 0, 0, 19, 0, 1, 20
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1073.c", "C", 0, 0, 26, 0, 0, 26
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1074.c", "C", 0, 0, 26, 0, 0, 26
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1075.c", "C", 0, 0, 41, 0, 0, 41
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1076.c", "C", 0, 0, 25, 0, 0, 25
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1077.c", "C", 0, 0, 14, 0, 0, 14
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1078.c", "C", 0, 0, 22, 0, 0, 22
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1079.c", "C", 0, 0, 27, 0, 0, 27
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1080.c", "C", 0, 0, 17, 0, 0, 17
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1081.c", "C", 0, 0, 28, 0, 1, 29
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1082.c", "C", 0, 0, 24, 0, 1, 25
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1083.c", "C", 0, 0, 36, 0, 1, 37
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1084.c", "C", 0, 0, 10, 0, 1, 11
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1085.c", "C", 0, 0, 25, 0, 0, 25
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1086.c", "C", 0, 0, 29, 0, 0, 29
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1087.c", "C", 0, 0, 24, 0, 0, 24
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1088.c", "C", 0, 0, 17, 0, 0, 17
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1089.c", "C", 0, 0, 75, 0, 0, 75
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1090.c", "C", 0, 0, 20, 0, 1, 21
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1091.c", "C", 0, 0, 21, 0, 1, 22
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1092.c", "C", 0, 0, 21, 0, 0, 21
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1093.c", "C", 0, 0, 17, 0, 0, 17
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1094.c", "C", 0, 0, 23, 0, 0, 23
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1095.c", "C", 0, 0, 25, 0, 0, 25
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1096.c", "C", 0, 0, 26, 0, 0, 26
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1097.c", "C", 0, 0, 29, 0, 0, 29
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1098.c", "C", 0, 0, 28, 0, 0, 28
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1099.c", "C", 0, 0, 24, 0, 0, 24
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1100.c", "C", 0, 0, 23, 0, 0, 23
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1101.c", "C", 0, 0, 24, 0, 0, 24
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1102.c", "C", 0, 0, 24, 0, 0, 24
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1103.c", "C", 0, 0, 39, 0, 0, 39
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1104.c", "C", 0, 0, 21, 0, 0, 21
